Trace,Date and Time,Trx Branch Code,Teller ID,Trx Code,Trx Reference Number,Company CMS Code,Destination Cyc,Amount,Customer Code,Invoice/Bill Number,Statement Ref No
201102092350,02-nov-2020 09:23:50,1,hub000102,O9_HUB01,201102000000011610,863,MMK,1000,-,-,1|hub000102|201102000000011610|O9_HUB01|863|02112020092350|MMK1000|-|-
201102103259,02-nov-2020 10:32:59,9999,tsy9999@hub.com,O9_HUB01,201102000000011611,863,MMK,1111,TSYT,7001234455,9999|tsy9999@hub.com|201102000000011611|O9_HUB01|863|02112020103259|MMK1111|TSYT|7001234455
201103101153,03-nov-2020 10:11:53,9999,admin@sys.com,O9_HUB01,201103000000011615,863,MMK,100,-,-,9999|admin@sys.com|201103000000011615|O9_HUB01|863|03112020101153|MMK100|-|-
201105133502,05-nov-2020 13:35:02,1,hub000102,O9_HUB01,201105000000011630,863,MMK,100,-,-,1|hub000102|201105000000011630|O9_HUB01|863|05112020133502|MMK100|-|-
1,09-nov-2020 15:44:45,1,16,O9_HUB01,201109000000011651,863,MMK,100,-,-,1|16|201109000000011651|O9_HUB01|863|09112020154445|MMK100|-|-
8,09-nov-2020 17:38:06,9999,hub_ibanking,O9_HUB05,201109000000011658,863,MMK,10,805-018-403-022-00010739,805-018-403-022-00010739,9999|hub_ibanking|201109000000011658|O9_HUB05|863|09112020173806|MMK10|805-018-403-022-00010739|805-018-403-022-00010739
17,10-nov-2020 12:05:46,60,133,O9_HUB01,201110000000011667,863,MMK,111,TSYT,700122324,60|133|201110000000011667|O9_HUB01|863|10112020120546|MMK111|TSYT|700122324
23,10-nov-2020 13:29:30,7,27,O9_HUB04,201110000000011673,863,MMK,60000,ZAW123,123456789,7|27|201110000000011673|O9_HUB04|863|10112020132930|MMK60000|ZAW123|123456789
24,10-nov-2020 13:35:38,7,27,O9_HUB04,201110000000011674,863,MMK,40000,123Zaw,56445654,7|27|201110000000011674|O9_HUB04|863|10112020133538|MMK40000|123Zaw|56445654
26,10-nov-2020 13:40:06,7,27,O9_HUB01,201110000000011676,863,MMK,80000,Zaw123456,5465465,7|27|201110000000011676|O9_HUB01|863|10112020134006|MMK80000|Zaw123456|5465465
30,10-nov-2020 13:48:44,7,27,O9_HUB01,201110000000011680,863,MMK,100000,Min123456,123456789,7|27|201110000000011680|O9_HUB01|863|10112020134844|MMK100000|Min123456|123456789
132,11-nov-2020 10:31:26,4,22,O9_HUB01,201111000000011782,863,MMK,35000,21561456,zaw156,4|22|201111000000011782|O9_HUB01|863|11112020103126|MMK35000|21561456|zaw156
134,11-nov-2020 10:33:23,4,22,O9_HUB04,201111000000011784,863,MMK,55000,215615,zaw65465,4|22|201111000000011784|O9_HUB04|863|11112020103323|MMK55000|215615|zaw65465
276,12-nov-2020 16:00:21,9999,7,O9_HUB01,201112000000011926,863,MMK,2222,11,22,9999|7|201112000000011926|O9_HUB01|863|12112020160021|MMK2222|11|22
341,16-nov-2020 11:18:56,1,1,O9_HUB01,201116000000011990,863,MMK,100,1,1,1|1|201116000000011990|O9_HUB01|863|16112020111856|MMK100|1|1
342,16-nov-2020 11:20:16,6,26,O9_HUB01,201116000000011991,863,MMK,100,-,-,6|26|201116000000011991|O9_HUB01|863|16112020112016|MMK100|-|-
360,16-nov-2020 13:45:15,4,22,O9_HUB01,201116000000012009,863,MMK,80000,zaw123,456789,4|22|201116000000012009|O9_HUB01|863|16112020134515|MMK80000|zaw123|456789
598,24-nov-2020 10:31:42,1,1,O9_HUB01,201124000000012247,863,MMK,100,111,111,1|1|201124000000012247|O9_HUB01|863|24112020103142|MMK100|111|111
600,24-nov-2020 13:13:34,2,1743,O9_HUB05,201124000000012249,863,MMK,100,data refva1,data refva2,2|1743|201124000000012249|O9_HUB05|863|24112020131334|MMK100|data refva1|data refva2
602,24-nov-2020 13:47:02,2,1743,O9_HUB05,201124000000012251,863,MMK,100,data refva1,data refva2,2|1743|201124000000012251|O9_HUB05|863|24112020134702|MMK100|data refva1|data refva2
605,24-nov-2020 13:53:24,2,1743,O9_HUB05,201124000000012254,863,MMK,100,data refva1,data refva2,2|1743|201124000000012254|O9_HUB05|863|24112020135324|MMK100|data refva1|data refva2
606,24-nov-2020 13:54:49,2,1743,O9_HUB05,201124000000012255,863,MMK,101.5,data refva1,data refva2,2|1743|201124000000012255|O9_HUB05|863|24112020135449|MMK101.5|data refva1|data refva2
607,24-nov-2020 13:58:56,2,1743,O9_HUB05,201124000000012256,863,MMK,101.5,data refva1,data refva2,2|1743|201124000000012256|O9_HUB05|863|24112020135856|MMK101.5|data refva1|data refva2
608,24-nov-2020 14:01:18,2,1743,O9_HUB05,201124000000012257,863,MMK,101.5,data refva1,data refva2,2|1743|201124000000012257|O9_HUB05|863|24112020140118|MMK101.5|data refva1|data refva2
609,24-nov-2020 14:55:37,2,1743,O9_HUB05,201124000000012258,863,MMK,101.5,data refva1,data refva2,2|1743|201124000000012258|O9_HUB05|863|24112020145537|MMK101.5|data refva1|data refva2
610,24-nov-2020 14:59:14,2,1743,O9_HUB05,201124000000012259,863,MMK,101.5,data refva1,data refva2,2|1743|201124000000012259|O9_HUB05|863|24112020145914|MMK101.5|data refva1|data refva2
611,24-nov-2020 15:00:02,2,1743,O9_HUB05,201124000000012260,863,MMK,101.5,data refva1,data refva2,2|1743|201124000000012260|O9_HUB05|863|24112020150002|MMK101.5|data refva1|data refva2
630,25-nov-2020 12:13:53,2,1743,O9_HUB05,201125000000012279,863,MMK,101.5,data refva1,data refva2,2|1743|201125000000012279|O9_HUB05|863|25112020121353|MMK101.5|data refva1|data refva2
631,25-nov-2020 12:38:00,2,1743,O9_HUB05,201125000000012280,863,MMK,101.5,,,2|1743|201125000000012280|O9_HUB05|863|25112020123800|MMK101.5||
632,25-nov-2020 12:39:02,2,1743,O9_HUB05,201125000000012281,863,MMK,101.5,,,2|1743|201125000000012281|O9_HUB05|863|25112020123902|MMK101.5||
667,26-nov-2020 12:57:41,2,1743,O9_HUB05,201126000000012316,863,MMK,100,,,2|1743|201126000000012316|O9_HUB05|863|26112020125741|MMK100||
668,26-nov-2020 13:00:23,2,1743,O9_HUB05,201126000000012317,863,MMK,100,,,2|1743|201126000000012317|O9_HUB05|863|26112020130023|MMK100||
670,26-nov-2020 19:44:23,2,1743,O9_HUB05,201126000000012319,863,MMK,100,,,2|1743|201126000000012319|O9_HUB05|863|26112020194423|MMK100||
672,27-nov-2020 11:15:08,2,1743,O9_HUB05,201127000000012321,863,MMK,100,,,2|1743|201127000000012321|O9_HUB05|863|27112020111508|MMK100||
673,27-nov-2020 11:15:11,2,1743,O9_HUB05,201127000000012322,863,MMK,100,,,2|1743|201127000000012322|O9_HUB05|863|27112020111511|MMK100||
674,27-nov-2020 11:15:14,2,1743,O9_HUB05,201127000000012323,863,MMK,100,,,2|1743|201127000000012323|O9_HUB05|863|27112020111514|MMK100||
675,27-nov-2020 11:15:17,2,1743,O9_HUB05,201127000000012324,863,MMK,100,,,2|1743|201127000000012324|O9_HUB05|863|27112020111517|MMK100||
